study,condition,qualification
study interventions are paclitaxel, stage ia breast cancer diagnosis and aspartate aminotransferase ast and alanine aminotransferase alt no greater than doc times the uln,0
study interventions are proteasome inhibitors, recurrent squamous cell carcinoma of the lip and oral cavity diagnosis and patients must have biopsy for histological confirmation of recurrent or metastatic disease if disease is now recurrent or metastatic after prior disease free interval,0
study interventions are perifosine daily dose, tumors diagnosis and patients must have adequate organ and marrow function,0
study interventions are prednisone, lymphoma diagnosis and see disease characteristics,0
study interventions are regorafenib, adenoid cystic carcinoma diagnosis and patients must have recurrent and or metastatic disease not amenable to potentially curative surgery or radiotherapy,0
study interventions are thalidomide, stage ii grade two non contiguous follicular lymphoma diagnosis and if on anti hiv therapy hiv viral load less_than fifty copies hiv rna ml,0
study interventions are capecitabine, pancreatic cancer diagnosis and ast alt less_than doc times upper limit of normal uln,0
study interventions are albumin-bound paclitaxel, neoplasms breast diagnosis and hematologic,0
study interventions are sunitinib, adult anaplastic astrocytoma diagnosis and phenytoin,0
study interventions are folic acid, advanced cancer diagnosis and prior whole abdominal or whole pelvis radiation therapy or radiation therapy to greater_than ten of the bone marrow at any time in the past or prior radiation therapy within the last three years to the breast sternum head or neck,1
study interventions are mr-pet, ovarian cancer diagnosis and evidence of prior pelvic radiation therapy,1
study interventions are poly(adp-ribose) polymerase inhibitors, recurrent primary peritoneal carcinoma diagnosis and biologic therapy equal_than less_than four weeks prior to registration,1
study interventions are high intensity exercise, prostate cancer diagnosis and patients with disabilities that may prevent physical activity,1
study interventions are vidarabine, neuroblastoma diagnosis and these criteria apply to both the start of the lymphodepleting regimen and to the nk infusion,1
study interventions are antibodies, stage iib fallopian tube cancer diagnosis and stage not greater than ib no more than superficial myometrial invasion without vascular or lymphatic invasion no poorly differentiated subtypes including papillary serous clear cell or other figo grade three lesions,1
study interventions are antibodies, stage iiic uterine corpus cancer diagnosis and minor surgical procedures fine needle aspirates or core biopsies within seven days prior to the first date of study therapy,1
study interventions are estradiol 17 beta-cypionate, solid cancers diagnosis and active infection requiring intravenous iv antibiotics,1
study interventions are fondaparinux, lung neoplasms diagnosis and cerebral spinal ophthalmologic operation history,1
study interventions are axitinib, cttwoa_nzeronxmzero renal tumor diagnosis and patients must not have any medical systemic or psychiatric disorder incompatible with the study,1
study interventions are conventional surgery, stage squamous cell carcinoma of the paranasal sinus and nasal cavity diagnosis and has not recovered from toxicity of prior therapy,1
study interventions are antineoplastic agents, module one non gcb diffuse large cell lymphoma diagnosis and mean resting qtc greater_than four hundred and fifty msec obtained from three ecgs,1
study interventions are erlotinib hydrochloride, non squamous non small cell lung cancer diagnosis and patients unable to take oral medication or requiring intravenous alimentation with prior surgical procedures affecting absorption or active peptic ulcer disease,1
study interventions are computer-assisted cognitive training, stage iiic breast cancer diagnosis and diagnosis of psychiatric disorders of psychosis schizophrenia or bipolar disorder,1
study interventions are lattice extreme ablative dose radiation therapy, patients may not be receiving any other investigational agents for the study cancer,1
study interventions are antibodies, recurrent ovarian carcinoma diagnosis and patients with peripheral edema or lymphedema greater_than grade two,1
study interventions are nursing intervention, non small cell lung cancer diagnosis and already received one or more cycles of chemotherapy for the current regimen,1
study interventions are antibodies, stage iib hodgkin lymphoma diagnosis and sixty years who are considered candidates for standard chemotherapy,1
study interventions are lenograstim, stage iii grade one follicular lymphoma diagnosis and patient has hypersensitivity to bortezomib boron or mannitol,1
study interventions are irinotecan, stage ivb rectal cancer diagnosis and patients with any nonmalignant intercurrent illness example cardiovascular pulmonary or central nervous system disease which is either poorly controlled with currently available treatment or which is of such severity that the investigators deem it unwise to enter the patient on protocol shall be ineligible,1
study interventions are tivozanib, recurrent adult soft tissue sarcoma diagnosis and psychiatric illness social situations that would limit compliance with study requirements will not be eligible for participation,1
study interventions are endothelial growth factors, recurrent fallopian tube carcinoma diagnosis and history of cerebrovascular attack cva within six months,1
study interventions are lenograstim, stage iv grade one follicular lymphoma diagnosis and female subject is pregnant or breast feeding confirmation that the subject is not pregnant must be established by negative serum beta human chorionic gonadotropin hcg pregnancy test result obtained during screening pregnancy testing is not required for post menopausal or surgically sterilized women,1
study interventions are genetically engineered lymphocyte therapy, stage iv adult diffuse large cell lymphoma diagnosis and concurrent use of systemic steroids,1
study interventions are antibodies, stage iii squamous cell carcinoma of the paranasal sinus and nasal cavity diagnosis and uncontrolled inter current illness pre planned surgery or procedure requiring hospitalization during the study period or any other condition or circumstance that could interfere with adherence to the study procedures or requirements or otherwise compromise the study objectives,1
study interventions are gentle exercise, advanced breast cancer stage iv diagnosis and currently engaged in yoga practice greater_than one day per week,1
study interventions are antibodies, glioblastoma diagnosis and patients who have had previous treatment with trcone hundred and five,1
study interventions are risedronate sodium, women with history of any illness known to affect bone and mineral metabolism such as renal failure estimated gfr less_than thirty hepatic failure malignancy excluding breast cancer treated superficial basal and squamous cell carcinoma and malignancies where the diagnosis itself or its treatment would not adversely affect bone metabolism untreated primary hyperparathyroidism and malabsorption,1
study interventions are irinotecan, esophageal cancer diagnosis and creatinine ratio of doc or greater at screening,1
study interventions are irinotecan, esophageal cancer diagnosis and postmenopausal women must have been amenorrheic for at least twelve months to be considered of non childbearing potential,1
study interventions are itraconazole, prostate cancer diagnosis and radiation therapy within four weeks of cycle one day one,1
study interventions are azacitidine, myeloproliferative neoplasm diagnosis and chronic active or acute viral hepatitis b or infection or hepatitis or carrier,1
study interventions are chemoprevention, tongue cancer diagnosis and history of intolerance including hypersensitivity or allergy to berry or berry containing products,1
study interventions are irinotecan, diagnosis of anal cancer,1
study interventions are morab-004, solid tumor diagnosis and have clinically significant cardiovascular disease,1
study interventions are endothelial growth factors, grade ii meningioma diagnosis and history of myocardial infarction or unstable angina within six months of registration,1
study interventions are folic acid, lung neoplasms diagnosis and pregnancy or positive pregnancy test,1
study interventions are ltx-315, carcinoma diagnosis and uncontrolled cardiac failure classification iii or iv new york heart association,1
study interventions are antiviral agents, recurrent marginal zone lymphoma diagnosis and the source of hematopoietic stem cells is cell depleted,1
study interventions are vidarabine, recurrent adult diffuse mixed cell lymphoma diagnosis and new york heart association nyha classification iii or iv heart disease,1
study interventions are recombinant adenovirus- ad/l523s, non small cell lung cancer diagnosis and received systemic or inhaled corticosteroids or immunosuppressive therapy within four weeks of day zero visit use of topical corticosteroids and or eye drops containing glucocorticosteroids is acceptable,1
study interventions are erlotinib hydrochloride, cancer diagnosis and chemotherapy within twenty-one days or radiotherapy within four weeks prior to entering the study,1
study interventions are frî± peptide plus adjuvant (gm-csf), platinum sensitive ovarian cancer diagnosis and subject with uncontrolled seizures,1
study interventions are axitinib, carcinoma renal cell diagnosis and topical and or inhaled steroids are allowed,1
study interventions are therasphere treatment, carcinoma hepatocellular diagnosis and clinical evidence of pulmonary insufficiency,1
study interventions are antibodies, neurofibromatosis type two diagnosis and requirement for antihypertensive treatment prior to enrollment or diastolic blood pressure greater_than ninety-fiveth_percentile for age,1
study interventions are fluorescence imaging, recurrent renal cell cancer diagnosis and subject in whom the use of ray dye or icg is contraindicated including development of adverse events when previously or presently administered,1
study interventions are vidarabine, extranodal marginal zone cell lymphoma of mucosa associated lymphoid tissue diagnosis and calculated creatinine clearance less_than forty cc min by the modified cockcroft gault formula for adults or the schwartz formula for pediatrics,1
study interventions are vaccinium myrtillus/macleaya cordata/echinacea angustifolia extract granules, stage ivb verrucous carcinoma of the larynx diagnosis and presence of other medical conditions causing mucositis_rheumatologic severe gastroesophageal reflux etc,1
study interventions are vismodegib, skin cancer diagnosis and pregnant or lactating women,1
study interventions are endothelial growth factors, ovarian clear cell cystadenocarcinoma diagnosis and no poorly differentiated subtypes including papillary serous clear cell or other international federation of gynecology and obstetrics_figo grade three lesions,1
study interventions are vorinostat, recurrent nasopharyngeal keratinizing squamous cell carcinoma diagnosis and human immunodeficiency virus hiv positive patients receiving combination anti retroviral therapy are excluded from the study,1
study interventions are immunoglobulin g, stage iv primary peritoneal cancer diagnosis and history of arrhythmia requiring an implantable cardiac defibrillator,1
study interventions are f-18 fluorothymidine, head and neck neoplasms diagnosis and pregnant women are excluded from this study,1
study interventions are erlotinib hydrochloride, stage iib pancreatic cancer diagnosis and participants taking known cytochrome pfour hundred and fifty threeafour cyp threeafour inducer phenytoin carbamazepine st,1
study interventions are immunoglobulin g, recurrent fallopian tube carcinoma diagnosis and ribose_polymerase parp inhibitor,1
study interventions are carboxymethylcellulose sodium, stage iic skin melanoma diagnosis and note,1
study interventions are methylphenidate, breast cancer diagnosis and history of fibromyalgia,1
study interventions are western blotting, recurrent adult brain tumor diagnosis and patients who are currently receiving chemotherapy or are enrolled in another treatment clinical trial,1
study interventions are vandetanib, lip and oral cavity squamous cell carcinoma diagnosis and john wort of cytochrome pfour hundred and fifty threeafour cypthreeafour function,1
study interventions are sentinel lymph node biopsy, melanoma diagnosis and patients with evidence of moderate or severe pulmonary hypertension on echocardiogram,1
study interventions are apaziquone, bladder cancer diagnosis and does the patient have history of acquired immunodeficiency syndrome or hiv positive,1
study interventions are folic acid, gastrointestinal neoplasms diagnosis and contraindication concerning five fu anxiety myocardial infarction within last six months significant toxicities during previous therapy with five fu,1
study interventions are carmustine, recurrent adult immunoblastic large cell lymphoma diagnosis and left ventricular ejection fraction lvef less_than fifty or coronary artery disease requiring treatment,1
study interventions are talaporfin, pelvic cancer diagnosis and concomitant use of other drugs known to produce skin photosensitivity,1
study interventions are finasteride, prostate cancer diagnosis and patients with any active malignancy,1
study interventions are zio-101 (darinaparsin), solid tumors diagnosis and history of seizure disorder,1
study interventions are vaccinium myrtillus/macleaya cordata/echinacea angustifolia extract granules, stage iva squamous cell carcinoma of the oropharynx diagnosis and any condition which in the investigator opinion deems the patient an unsuitable candidate to receive study drug,1
study interventions are car-t cell immunotherapy, ephatwo positive malignant glioma diagnosis and patients who are participating or participated any other clinical trials in latest thirty days will be excluded,1
study interventions are folic acid, prostate cancer diagnosis and no history of uncontrolled psychiatric illness or serious systemic disease including active infection uncontrolled hypertension,1
study interventions are initially dissection of inferior mesenteric vein, rectal tumors diagnosis and inflammatory bowel disease with pathologic confirmation,1
study interventions are akt inhibitor mk2206, recurrent mantle cell lymphoma diagnosis and cardiovascular,1
study interventions are irinotecan, colorectal neoplasms diagnosis and major surgery within four weeks of start of study,1
study interventions are vidarabine, recurrent adult cell leukemia lymphoma diagnosis and mediastinum,1
study interventions are liver extracts, patients that have been previously treated with chemotherapy for hepatoblastoma or other hepatoblastoma directed therapy eg radiation therapy biologic agents local therapy embolization radiofrequency ablation laser are not eligible,1
study interventions are immunoglobulin g, recurrent meningioma diagnosis and patients with history of hematemesis or hemoptysis defined as having bright red blood of one two teaspoon or more per episode within two8 days prior to registration,1
study interventions are thiotepa, other concurrent anticancer or experimental drugs examinations required,1
study interventions are cabozantinib-s-malate, adenocarcinoma of the prostate diagnosis and the subject is unable to swallow tablets,1
study interventions are erlotinib hydrochloride, adenocarcinoma of the pancreas diagnosis and clinically significant peripheral vascular disease,1
study interventions are lenograstim, noncontiguous stage ii adult lymphoblastic lymphoma diagnosis and liver function studies greater_than two times the upper limit of normal uln at evaluation creatinine greater_than two pulmonary function diffusing lung capacity for carbon monoxide dlco less_than fifty if specifically evaluated cardiac ejection fraction less_than fifty if specifically evaluated,1
study interventions are antibodies, multiple myeloma diagnosis and previous intolerance of lenalidomide or dexamethasone,1
study interventions are vidarabine, non hodgkin lymphoma diagnosis and patients with history of therapy with radiation therapy are excluded,1
study interventions are antibodies, stage ii grade two non contiguous follicular lymphoma diagnosis and major surgery other than diagnostic surgery equal_than less_than four weeks prior to registration,1
study interventions are logiq e9 scanner (contrast-enhanced ultrasound), hepatocellular carcinoma diagnosis and patients with pulmonary hypertension or unstable cardiopulmonary conditions,1
study interventions are vidarabine, plasma cell neoplasm diagnosis and patients not exposed to highly immunosuppressive single agent or multi agent chemotherapy within three months or an ablative preparative regimen for autologous hematopoietic stem cell transplant hct within one year,1
study interventions are diagnostic tomosynthesis, breast neoplasms diagnosis and unable or unwilling to tolerate compression associated with mammography,1
study interventions are vidarabine, lymphoma diagnosis and untreatable hiv infection due to multidrug antiretroviral resistance,1
study interventions are conventional text message reminder, human papillomavirus diagnosis and parent already in the study,1
study interventions are vidarabine, extranodal marginal zone cell lymphoma of mucosa associated lymphoid tissue diagnosis and the addition of cytotoxic agents for cytoreduction with the exception of hydroxyurea and imatinib mesylate will not be allowed within two weeks of the initiation of conditioning,1
study interventions are 3-tesla magnetic resonance imaging, adult anaplastic ependymoma diagnosis and for patients who have undergone surgical resection prior to joining the study in whom baseline magnetic resonance mr images exhibit enough signal degradation due to susceptibility artifact in the region of the surgical bed such that the data are uninterpretable will be excluded,1
study interventions are antibodies, refractory diffuse large cell lymphoma diagnosis and southwest oncology group swog eastern cooperative oncology group ecog performance score greater_than equal_than two,1
study interventions are ocl 503 (uterine artery embolization), leiomyomata diagnosis and have claustrophobia or other contraindications to the performance of the pr negative and post procedure mri studies including the presence of metal implants metal plates bone pins bone screws neurostimulators cardiac pacemakers aneurysm clips cochlear or retinal implants permanent hearing aids or permanent eye liner,1
study interventions are irinotecan, colorectal cancer diagnosis and mitomycin treatment should be at least six weeks before study treatment,1
"study interventions are insulin, long-acting", lymphoma diagnosis and on going treatment of steroid induced hyperglycemia by an endocrinologist and or general internist,1
study interventions are endothelial growth factors, metastatic renal cell carcinoma diagnosis and phase oneb only,1
study interventions are irinotecan, stage iva colorectal cancer diagnosis and no st john wort supplement or other herbal supplementation is allowed while on trial patients are not to take grapefruit juice during study treatment,1
study interventions are carmustine, recurrent adult hodgkin lymphoma diagnosis and donor,1
study interventions are antibodies, malignant ovarian epithelial tumor diagnosis and patients with gog performance grade of three or four,1
study interventions are vidarabine, stage iii grade two follicular lymphoma diagnosis and infection with hiv,1
study interventions are liver extracts, hepatocellular carcinoma diagnosis and pregnancy or breast feeding,1
study interventions are hyperpolarized pyruvate (13c) injection, prostatic neoplasms diagnosis and contraindications to mri or mri contrast agents,1
study interventions are carboxymethylcellulose sodium, melanoma diagnosis and life expectancy of less than six months in the judgment of the study physician,1
study interventions are hydrocortisone acetate, prostate cancer diagnosis and known brain metastases,1
study interventions are antibodies, ovarian mucinous cystadenocarcinoma diagnosis and persistent gastrointestinal symptoms resulting from clostridia_difficile enterocolitis or bowel surgery which may increase gastrointestinal toxicity from bevacizumab or hearing loss or neuropathy which would prevent tolerance to cisplatin and paclitaxel administration the investigator should feel free to consult the study chair or study co chairs for uncertainty in this regard twelve twenty ten,1
study interventions are navy beans (canned), colorectal cancer prevention diagnosis and heavy drinker defined as more than one alcoholic drink day for women and more than two alcoholic drinks day for men or more than seven to fourteen drinks per week respectively,1
study interventions are gabapentin, colonic neoplasms diagnosis and minors,1
study interventions are prostate sbrt, participation in another concurrent treatment protocol for prostate cancer,1
study interventions are patients who have surgery at 12 weeks after radiotherapy/chemoradiotherapy, intestinal neoplasms diagnosis and contra indications to mri hip prothesis cardiac pacemaker,1
study interventions are mri, breast cancer diagnosis and subjects with mmse scores below twenty-four,1
study interventions are antibodies, stage iib fallopian tube cancer diagnosis and patients with surgery including open biopsy within four weeks prior to anticipated first dose of bevacizumab allowing for fact that bevacizumab can be omitted from first cycle of chemotherapy,1
study interventions are bgj398, head and neck squamous cell carcinoma diagnosis and highly effective contraception methods include,1
study interventions are veliparib, ovarian clear cell cystadenocarcinoma diagnosis and patients with seizures or history of seizures are ineligible,1
study interventions are erlotinib hydrochloride, lung adenocarcinoma diagnosis and the age of greater_than seventy-five years or less_than eighteen years,1
study interventions are lipegfilgrastim, aggressive cell non hodgkin lymphomas at high risk for chop twenty-one induced neutropenia diagnosis and any illness or medical conditions that are unstable or could jeopardize the safety of the patient and his her compliance in the study,1
study interventions are biopsy to obtain a chemogram, colorectal cancer diagnosis and persons deprived of liberty,1
study interventions are dabrafenib, stage iiic skin melanoma diagnosis and history of hepatitis virus hbv or hepatitis virus hcv infection with the exception of cleared hbv and hcv infection which will be allowed,1
study interventions are antibodies, recurrent adult primary liver cancer diagnosis and no concurrent interferon,1
study interventions are fdg-pet/ct, thyroid neoplasms diagnosis and inability to undergo surgery in the opinion of the surgeon anaesthetist,1
study interventions are carmustine, equivocal myelomatosis defined by the following criteria,1
study interventions are erlotinib hydrochloride, stage iv anal cancer diagnosis and abnormalities of the cornea based on history dry eye syndrome sjogren syndrome congenital abnormality fuch dystrophy abnormal slit_lamp examination using vital dye_fluorescein bengal_rose and or an abnormal corneal sensitivity test schirmer test or similar tear_production test,1
study interventions are whey protein supplementation, rectal cancer diagnosis and cardiac failure new york heart association classes iv,1
study interventions are antibodies, advanced solid tumor diagnosis and abnormal lung function,1
study interventions are thiotepa, non hodgkin lymphoma diagnosis and hiv positive,1
study interventions are pharmaceutical solutions, stage ib breast cancer diagnosis and patients with implanted medical devices such as pacemaker may undergo perometry but not bis bioelectrical impedance spectroscopy,1
study interventions are hki-272 (neratinib), neoplasms diagnosis and subjects with bone or skin as the only site of measurable disease,1
study interventions are dabrafenib, unresectable thyroid gland carcinoma diagnosis and anticonvulsant,1
study interventions are nitrogen mustard compounds, follicular lymphoma diagnosis and participation in clinical trials with other investigational agents not included in this trial within fourteen days of the start of this trial and throughout the duration of this trial,1
study interventions are slnb versus completion alnd, breast cancer diagnosis and pregnant or lactating patients,1
study interventions are stereotactic body radiation therapy boost, non small cell lung cancer diagnosis and hiv testing is not required for entry into this protocol the need to exclude patients with aids from this protocol is necessary because the treatments involved in this protocol may be significantly immunosuppressive,1
study interventions are endothelial growth factors, endometrial undifferentiated carcinoma diagnosis and patients known to be hiv positive but without clinical evidence of an immunocompromised state are eligible for this trial,1
study interventions are copanlisib (bay80-6946), lymphoma non hodgkin diagnosis and cytomegalovirus cmv pcr positive at baseline,1
study interventions are poly(adp-ribose) polymerase inhibitors, solid tumors diagnosis and the patient requires treatment with proton_pump inhibitor or htwo antagonist or has taken proton_pump inhibitor or htwo antagonist within four days before cep 97twotwo administration,1
study interventions are postoperative radiotherapy, hepatocellular cancer diagnosis and combining severe diseases such as acute myocardial infarction ami arrhythmias infection,1
study interventions are tivozanib, stage iii adult soft tissue sarcoma diagnosis and patients with left ventricular ejection fraction lvef less_than fifty will not be eligible for participation,1
study interventions are immunoglobulin g, ovarian seromucinous carcinoma diagnosis and severe infections within four weeks prior to cycle one day one including but not limited to hospitalization for complications of infection bacteremia or severe pneumonia,1
study interventions are harvesting and reinfusion of autologous lymphocytes, glioblastoma diagnosis and fresh cns bleed current anticoagulation use and anti vegf therapy in past six weeks are excluded,1
study interventions are vidarabine, recurrent diffuse large cell lymphoma diagnosis and donor,1
study interventions are lenograstim, metastatic renal cell carcinoma diagnosis and concurrent local radiotherapy for pain control or for life threatening situations,1
study interventions are intensity modulated radiation therapy (imrt), sarcoma diagnosis and patients with clinically significant heart disease nyha class iii iv history of active angina or myocardial infarction within six months history of significant ventricular arrhythmia requiring medication with antiarrhythmics or history of clinically significant conduction system abnormality,1
study interventions are erlotinib hydrochloride, advanced solid tumors diagnosis and significant cardiac disease unless well controlled,1
study interventions are e7389 28 day cycle, non small cell lung carcinoma diagnosis and patients who have not recovered from any chemotherapy radiation or other therapy related toxicity deemed to be clinically significant at study entry,1
study interventions are td, malignant glioma diagnosis and pregnancy or women of childbearing potential and men who are sexually active and not willing able to use medically acceptable forms of contraception,1
study interventions are 124i-pu-ad, multiple myeloma diagnosis and inability to give consent,1
study interventions are veliparib, ovarian neoplasm diagnosis and known history of allergic reaction to cremophor paclitaxel carboplatin azo colourant tartrazine also known as fd yellow five or eone hundred and two azo colourant orange yellow also known as fd yellow six or eone hundred and ten or known contraindications to any study supplied drug,1
study interventions are irinotecan, colorectal cancer diagnosis and patients may have prophylactic use of low molecular weight heparin however therapeutic use of heparin or low molecular weight heparin is not acceptable,1
study interventions are cmb305, non small cell lung cancer diagnosis and known allergy ies to any component of cmbthree hundred and five including egg lecithin,1
study interventions are irinotecan, other cancer within five years prior to entry into the trial or concomitant except in situ cancer of the cervix or skin basal cell carcinoma properly treated,1
study interventions are lum015, sarcoma diagnosis and known substance addiction,1
study interventions are irinotecan, colorectal cancer diagnosis and these readings need to be collected prior to the first dose,1
study interventions are 851b, papillomavirus infections diagnosis and the subject has history of hypersensitivity to any components of the gel formulation or to iodine,1
study interventions are chemofx assay, women who have had an excisional or incisional biopsy prior to entry would not have sufficient tumor sample to test or to be measured by physical exam for the study,1
study interventions are magnevistâ® (intravenous (iv) administration of mri contrast agent), adult primary hepatocellular carcinoma diagnosis and subjects who exhibit noticeable anxiety claustrophobia or vertigo when moved into the scanner,1
study interventions are erlotinib hydrochloride, adult pineal gland astrocytoma diagnosis and patients must not have active infection or serious intercurrent medical illness,1
study interventions are erlotinib hydrochloride, primary peritoneal cancer diagnosis and dementia or significantly altered mental status that would prohibit the understanding and or giving of informed consent,1
study interventions are pf-00337210, patients with carcinomatous_meningitis or un treated brain metastases,1
study interventions are vidarabine, recurrent adult grade iii lymphomatoid granulomatosis diagnosis and small bowel any volume forty-six gy,1
study interventions are octreotide, patients with intolerance to somatostatin analogues,1
study interventions are linifanib, stage iva rectal cancer diagnosis and clinic bp reading without the patient having been at rest for fifteen minutes or with the wrong cuff size can be repeated the same day for eligibility criteria to be determined,1
study interventions are resection, patients with apparent cardiac pulmonary cerebronic and renal dysfunction which may affect the treatment of liver cancer,1
study interventions are lenograstim, recurrent grade three follicular lymphoma diagnosis and patient has greater_than equal_than grade two peripheral neuropathy within fourteen days before enrollment,1
study interventions are thiotepa, recurrent mantle cell lymphoma diagnosis and age greater_than sixty-five years,1
study interventions are antibodies, b cell lymphoma diagnosis and men with pregnant or lactating partners should be advised to use barrier method contraception condom plus spermicidal gel to prevent exposure to the foetus or neonate,1
study interventions are irinotecan, resectable pancreatic cancer diagnosis and pregnant or breastfeeding women,1
study interventions are part c: twice weekly dosing of cantrixil, ovarian neoplasms diagnosis and patients with known hypersensitivity to or serious reaction to benzopyrans are excluded,1
study interventions are irinotecan, rectal cancer diagnosis and patients on dilantin must have regular monitoring of dilantin levels,1
study interventions are topotecan, chondrosarcoma,1
study interventions are photodynamic therapy, stage verrucous carcinoma of the larynx diagnosis and patients on concurrent chemotherapy or radiation therapy will be excluded,1
study interventions are antibodies, non cancer diagnosis diagnosis and positive anti donor cytotoxic cross match is absolute donor exclusion,1
study interventions are antibodies, aids related hodgkin lymphoma diagnosis and cirrhosis secondary to any cause will be excluded,1
study interventions are endothelial growth factors, adult gliosarcoma diagnosis and unstable angina and or congestive heart failure within the last six months,1
study interventions are vidarabine, noncutaneous extranodal lymphoma diagnosis and donor,1
study interventions are endothelial growth factors, stage iiic fallopian tube cancer diagnosis and note,1
study interventions are comparison of screening methods, treatment of anal and or perianal hpv associated disease condyloma or low grade anal intraepithelial_neoplasia ain within four months of study entry,1
study interventions are vaccinium myrtillus/macleaya cordata/echinacea angustifolia extract granules, stage iva squamous cell carcinoma of the oropharynx diagnosis and presence of distant metastatic disease,1
study interventions are vidarabine, stage iii childhood anaplastic large cell lymphoma diagnosis and patients with chronic myelomonocytic leukemia cmml,1
study interventions are activity monitor, cancer diagnosis and inability to read and write english,1
study interventions are irinotecan, stage iva colon cancer diagnosis and current evidence of corneal or retinal disorder keratopathy including but not limited to bullous band keratopathy corneal abrasion inflammation ulceration keratoconjunctivitis confirmed by ophthalmologic examination,1
study interventions are topotecan, solid tumors diagnosis and subjects known to be positive for human immunodeficiency virus hiv hepatitis antibody or hepatitis surface antigen,1
study interventions are labeled line, high rectal cancer,1
study interventions are antibodies, stage iv colorectal cancer diagnosis and pregnancy testing should be performed within fourteen days prior to randomization according to institutional standards for women of childbearing potential,1
study interventions are azacitidine, fltthree tyrosine kinase domain point mutation diagnosis and note,1
study interventions are antibodies, stage iv melanoma diagnosis and major surgery open biopsy or significant traumatic injury within two weeks of first dose of study drug,1
study interventions are gentle exercise, advanced breast cancer stage iv diagnosis and cognitive impairment as assessed by the six item mini mental status exam,1
study interventions are female ar(+) tnbc enzalutamide naã¯ve, er positive breast cancer diagnosis and patients who have known active hiv hepatitis or hepatitis infections,1
study interventions are avn944, refractory solid tumors diagnosis and the following medications and or treatments are not permitted during the trial through completion of the post treatment follow up and would constitute exclusion from the protocol,1
study interventions are antibodies, recurrent melanoma diagnosis and co morbid systemic illnesses or other severe concurrent disease which in the judgment of the investigator would make the patient inappropriate for entry into this study or interfere significantly with the proper assessment of safety and toxicity of the prescribed regimens,1
study interventions are irinotecan, duct cell adenocarcinoma of the pancreas diagnosis and pregnant women or women of child bearing potential not using reliable means of contraception because the teratogenic potential of cpi six hundred and thirteen is unknown,1
study interventions are msc1936369b, solid tumors diagnosis and history of cns metastases unless subject has been previously treated for cns metastases is stable by ct scan without evidence of cerebral oedema and has no requirements for corticosteroids or anticonvulsants,1
study interventions are lenograstim, stage iv adult non hodgkin lymphoma diagnosis and csf neupogen filgrastim plerixafor mozobil or any components of the chemotherapeutic agents or osixbg bcnu in vivo selection regimens,1
study interventions are palonosetron, stage iv squamous cell carcinoma of the lip and oral cavity diagnosis and ketoconazole itraconazole clarithromycin ritonavir and nelfinavir strong inducers of cypthreeafour,1
study interventions are vismodegib," adult malignant peripheral nerve sheath tumor diagnosis and history of allergic reactions attributed to compounds of similar chemical or biologic composition to gdc four hundred and forty-nine or rofour million, nine hundred and twenty-nine thousand and ninety-seven used in the study",1
study interventions are tivozanib, non resectable hepatocellular carcinoma diagnosis and the patient is unable to swallow pills or diagnosed with gastrointestinal disorder that are likely to interfere with the absorption of the study drug or with the patient ability to take regular oral medication,1
study interventions are standard of care second line therapy, metastatic pancreatic cancer diagnosis and clinically significant peripheral neuropathy at the time of enrollment defined in the nci common terminology criteria for adverse events version doc ctcae doc as grade two or greater neurosensory or neuromotor toxicity,1
study interventions are panobinostat, cutaneous cell lymphoma diagnosis and patients who have received chemotherapy or any investigational drug or undergone major surgery less_than three weeks prior to starting study drug or who have not recovered from side effects of such therapy,1
study interventions are immunoglobulin g, neuroblastoma diagnosis and previous allogeneic stem cell transplant or solid organ transplant,1
study interventions are id-lv305, sarcoma enrollment completed diagnosis and is not considered form of systemic treatment,1
study interventions are magnetic resonance spectroscopy imaging with rectal probe, prostate cancer diagnosis and indication of dementia or memory issues listed on problem list,1
"study interventions are gw786034, radiolabeled oral", cancer diagnosis and history of cerebrovascular accident or pulmonary embolism within the past six months,1
study interventions are irinotecan, colorectal cancer diagnosis and chronic daily treatment with greater_than three hundred and twenty-five mg day aspirin,1
study interventions are antibodies, recurrent adult cell leukemia lymphoma diagnosis and patients who are receiving cyclosporine tacrolimus or other agents to prevent graft versus host disease post bone marrow transplant are not eligible for this trial,1
study interventions are vidarabine, adult nasal type extranodal nk cell lymphoma diagnosis and patient has fungal infection with radiological progression after receipt of amphotericin or active triazole for greater than one month,1
study interventions are carmustine, metastatic brain cancer diagnosis and concurrent severe medical conditions include but are not limited to active infection acute hepatitis cardiac arrhythmia unstable angina congestive heart failure uncontrolled diabetes mellitus uncontrolled seizures pulmonary insufficiency pulmonary fibrosis pulmonary embolus etc,1
study interventions are cart 19, lymphocytic leukemia cll or small lymphocytic lymphoma sll diagnosis and patients with active cns involvement with malignancy,1
study interventions are antibodies, lung cancer diagnosis and clinical imaging evidence of central nervous system cns malignancy or with recently treated cns malignancy as well as those experiencing recent cerebrovascular accident cva or other cns bleeding,1
study interventions are gossypol, recurrent adult grade iii lymphomatoid granulomatosis diagnosis and failure to recover fully as judged by the investigator from prior surgical procedures or failure to recover from adverse events due to agents administered more than four weeks earlier,1
study interventions are niraparib, ovarian cancer diagnosis and immunodeficiency or is receiving systemic steroid therapy or any other form of immunosuppressive therapy within seven days prior to the first dose of study treatment,1
study interventions are lenograstim, recurrent adult diffuse mixed cell lymphoma diagnosis and co morbid condition which in the view of the investigators renders the patient at high risk for this study,1
